Title,Production company,Cast and crew
To All the Boys: P.S. I Still Love You,Netflix,"Michael Fimognari (director); Sofia Alvarez, J. Mills Goodloe (screenplay); Lana Condor, Noah Centineo, Jordan Fisher, Anna Cathcart, John Corbett"
Sonic the Hedgehog,Paramount Pictures / Original Film / Sega Sammy Group,"Jeff Fowler (director); Patrick Casey, Josh Miller (screenplay); James Marsden, Ben Schwartz, Tika Sumpter, Natasha Rothwell, Adam Pally, Neal McDonough, Jim Carrey"
Fantasy Island,Columbia Pictures / Blumhouse Productions,"Jeff Wadlow (director/screenplay); Chris Roach, Jillian Jacobs (screenplay); Michael Peña, Maggie Q, Lucy Hale, Austin Stowell, Portia Doubleday, Jimmy O. Yang, Ryan Hansen, Michael Rooker"
The Photograph,Universal Pictures / Will Packer Productions,"Stella Meghie (director/screenplay); Issa Rae, Lakeith Stanfield, Chelsea Peretti, Lil Rel Howery, Courtney B. Vance"
Downhill,Searchlight Pictures,"Nat Faxon, Jim Rash (directors); Jesse Armstrong (screenplay); Julia Louis-Dreyfus, Will Ferrell, Miranda Otto, Zoë Chao, Zach Woods"
Spy Intervention,Cinedigm / Sprockefeller Pictures,"Drew Mylrea (director); Mark Famiglietti, Lane Garrison (screenplay); Drew Van Acker, Poppy Delevingne, Natasha Bassett, Max Silvestri, Brittany Furlan, Blake Anderson"
The Kindness of Strangers,Vertical Entertainment,"Lone Scherfig (director/screenplay); Andrea Riseborough, Tahar Rahim, Zoe Kazan, Bill Nighy, Caleb Landry Jones, Jay Baruchel"
The Call of the Wild,20th Century Studios / TSG Entertainment / 3 Arts Entertainment,"Chris Sanders (director); Michael Green (screenplay); Harrison Ford, Omar Sy, Cara Gee, Dan Stevens, Karen Gillan, Bradley Whitford"
Emma,Focus Features,"Autumn de Wilde (director); Eleanor Catton (screenplay); Anya Taylor-Joy, Johnny Flynn, Josh O'Connor, Callum Turner, Mia Goth, Miranda Hart, Bill Nighy"
The Last Thing He Wanted,Netflix,"Dee Rees (director, screenplay); Marco Villalobos (screenplay); Anne Hathaway, Ben Affleck, Rosie Perez, Edi Gathegi, Mel Rodriguez, Toby Jones, Willem Dafoe"
Brahms: The Boy II,STX Films,"William Brent Bell (director); Stacey Menear (screenplay); Katie Holmes, Owain Yeoman, Christopher Convery, Ralph Ineson"
The Night Clerk,Saban Films,"Michael Cristofer (director/screenplay); Tye Sheridan, Ana de Armas, Helen Hunt, John Leguizamo"
Impractical Jokers: The Movie,truTV / Funny or Die,"Chris Henchy (director/screenplay); Brian Quinn, Joe Gatto, Sal Vulcano, James Murray (screenplay); Brian Quinn, Joe Gatto, Sal Vulcano, James Murray, Paula Abdul"
The Invisible Man,Universal Pictures / Blumhouse Productions,"Leigh Whannell (director/screenplay); Elisabeth Moss, Aldis Hodge, Storm Reid, Harriet Dyer, Michael Dorman, Oliver Jackson-Cohen"
All the Bright Places,Netflix,"Brett Haley (director); Jennifer Niven, Liz Hannah (screenplay); Elle Fanning, Justice Smith, Alexandra Shipp, Keegan-Michael Key, Luke Wilson"
Wendy,Searchlight Pictures,"Benh Zeitlin (director/screenplay); Eliza Zeitlin (screenplay); Tommie Lynn Milazzo, Shay Walker"
Guns Akimbo,Saban Films / Ingenious Media,"Jason Lei Howden (director/screenplay); Daniel Radcliffe, Samara Weaving, Natasha Liu Bordizzo"
Onward,Walt Disney Pictures / Pixar Animation Studios,"Dan Scanlon (director/screenplay); Jason Headley, Keith Bunin (screenplay); Tom Holland, Chris Pratt, Julia Louis-Dreyfus, Octavia Spencer"
The Way Back,Warner Bros. Pictures / Bron Creative,"Gavin O'Connor (director); Brad Ingelsby (screenplay); Ben Affleck, Al Madrigal, Michaela Watkins, Janina Gavankar, Glynn Turman"
Spenser Confidential,Netflix,"Peter Berg (director); Sean O'Keefe, Brian Helgeland (screenplay); Mark Wahlberg, Winston Duke, Alan Arkin, Iliza Shlesinger, Bokeem Woodbine, Marc Maron, Austin Post"
The Banker,Apple TV+,"George Nolfi (director/screenplay); Niceole Levy (screenplay); Anthony Mackie, Nicholas Hoult, Nia Long, Samuel L. Jackson"
The Burnt Orange Heresy,Sony Pictures Classics,"Giuseppe Capotondi (director); Scott Smith (screenplay); Claes Bang, Elizabeth Debicki, Mick Jagger, Donald Sutherland"
Swallow,IFC Films,"Carlo Mirabella-Davis (director/screenplay); Haley Bennett, Austin Stowell, Elizabeth Marvel, David Rasche, Denis O'Hare"
First Cow,A24,"Kelly Reichardt (director/screenplay); Jonathan Raymond (screenplay); John Magaro, Orion Hall, René Auberjonois"
Bloodshot,Columbia Pictures / Cross Creek Pictures / Original Film,"Dave S. F. Wilson (director); Jeff Wadlow, Eric Heisserer (screenplay); Vin Diesel, Eiza González, Sam Heughan, Toby Kebbell, Lamorne Morris, Guy Pearce"
The Hunt,Universal Pictures / Blumhouse Productions,"Craig Zobel (director); Nick Cuse, Damon Lindelof (screenplay); Betty Gilpin, Ike Barinholtz, Amy Madigan, Emma Roberts, Ethan Suplee, Hilary Swank"
I Still Believe,Lionsgate,"Erwin Brothers (directors); Jon Erwin, Jon Gunn (screenplay); KJ Apa, Britt Robertson, Shania Twain, Gary Sinise"
Lost Girls,Netflix,"Liz Garbus (director); Michael Werwie (screenplay); Amy Ryan, Thomasin McKenzie, Lola Kirke, Oona Laurence, Dean Winters, Miriam Shor, Reed Birney, Kevin Corrigan, Gabriel Byrne"
Stargirl,Disney+ / Walt Disney Pictures,"Julia Hart (director/screenplay); Kristin Hahn, Jordan Horowitz (screenplay); Grace VanderWaal, Graham Verchere, Giancarlo Esposito"
The Roads Not Taken,Bleecker Street / Focus Features,"Sally Potter (director/screenplay); Javier Bardem, Elle Fanning, Laura Linney, Salma Hayek"
Never Rarely Sometimes Always,Focus Features / BBC Films,"Eliza Hittman (director/screenplay); Sidney Flanigan, Talia Ryder, Theodore Pellerin, Ryan Eggold, Sharon Van Etten"
Big Time Adolescence,Hulu,"Jason Orley (director); Jason Orley (screenplay); Pete Davidson, Griffin Gluck, Jon Cryer, Oona Laurence, Sydney Sweeney"
Lost Transmissions,Gravitas Ventures,"Katharine O'Brien (director/screenplay); Simon Pegg, Juno Temple, Alexandra Daddario, Tao Okamoto, Rosanna Arquette, Bria Vinaite"
Resistance,IFC Films,"Jonathan Jakubowicz (director/screenplay); Jesse Eisenberg, Ed Harris, Clémence Poésy, Matthias Schweighöfer, Félix Moati, Karl Markovics, Vica Kerekes, Bella Ramsey, Édgar Ramírez"
Uncorked,Netflix,"Prentice Penny (director/screenplay); Mamoudou Athie, Courtney B. Vance, Niecy Nash, Matt McGorry"
Vivarium,Vertigo Films,"Lorcan Finnegan (director); Imogen Poots, Jesse Eisenberg"
Coffee & Kareem,Netflix,"Michael Dowse (director); Shane McCarthy (screenplay); Ed Helms, Taraji P. Henson, Betty Gilpin, King Bach, David Alan Grier"
Trolls World Tour,Universal Pictures / DreamWorks Animation,"Walt Dohrn (director); Jonathan Aibel, Glenn Berger, Elizabeth Tippet, Maya Forbes, Wallace Wolodarsky (screenplay); Anna Kendrick, Justin Timberlake, Rachel Bloom, James Corden, Ron Funches, Kelly Clarkson, Anderson Paak, Sam Rockwell, George Clinton, Mary J. Blige"
Love Wedding Repeat,Netflix,"Dean Craig (director/screenplay); Olivia Munn, Sam Claflin, Freida Pinto, Eleanor Tomlinson, Jack Farthing"
The Main Event,Netflix / WWE Studios,"Jay Karas (director); Larry Postel (screenplay); Seth Carr, Tichina Arnold, Ken Marino, Adam Pally"
We Summon the Darkness,Saban Films,"Marc Meyers (director); Alan Trezza (screenplay); Alexandra Daddario, Keean Johnson, Logan Miller, Maddie Hasson, Amy Forsyth, Austin Swift, Johnny Knoxville"
The Lost Husband,Quiver Distribution,"Vicky Wight (director/screenplay); Leslie Bibb, Josh Duhamel, Nora Dunn"
Corona Zombies,Full Moon Features,"Charles Band (director/screenplay); Cody Renee Cameron, Russell Coker, Robin Sydney"
Sergio,Netflix,"Greg Barker (director); Craig Borten (screenplay); Wagner Moura, Ana de Armas, Garret Dillahunt, Brían F. O'Byrne, Clemens Schick, Bradley Whitford"
The Willoughbys,Netflix / Bron Studios,"Kris Pearn (director/screenplay); Mark Stanleigh (screenplay); Will Forte, Maya Rudolph, Alessia Cara, Terry Crews, Martin Short, Jane Krakowski, Ricky Gervais"
Extraction,Netflix / AGBO,"Sam Hargrave (director); Joe Russo (screenplay); Chris Hemsworth, Rudhraksh Jaiswal, Randeep Hooda, Golshifteh Farahani, Pankaj Tripathi, David Harbour"
Braking for Whales,Gravitas Ventures,"Sean McEwen (director/screenplay); Tammin Sursok (screenplay); Tom Felton, Tammin Sursok, Wendi McLendon-Covey, David Koechner"
Bad Education,HBO Films,"Cory Finley (director); Mike Makowsky (screenplay); Hugh Jackman, Allison Janney, Geraldine Viswanathan, Alex Wolff, Rafael Casal, Stephen Spinella, Annaleigh Ashford, Ray Romano"
Dangerous Lies,Netflix,"Michael Scott (director); David Golden (screenplay); Camila Mendes, Jessie T. Usher, Jamie Chung, Cam Gigandet, Sasha Alexander, Elliott Gould"
All Day and a Night,Netflix,"Joe Robert Cole (director/screenplay); Ashton Sanders, Jeffrey Wright, Yahya Abdul-Mateen II"
The Wretched,IFC Midnight,"The Pierce Brothers (director/screenplay); John-Paul Howard, Piper Curda, Zarah Mahler, Kevin Bigley"
The Half of It,Netflix / Likely Story,"Alice Wu (director/screenplay); Leah Lewis, Daniel Diemer, Alexxis Lemire, Collin Chou"
Arkansas,Lionsgate,"Clark Duke (director/screenplay); Andrew Boonkrong (screenplay); Liam Hemsworth, Clark Duke, Michael Kenneth Williams, Vivica A. Fox, Eden Brolin, Chandler Duke, John Malkovich, Vince Vaughn"
Valley Girl,Orion Classics / Metro-Goldwyn-Mayer,"Rachel Lee Goldenberg (director/screenplay); Jessica Rothe, Josh Whitehouse, Mae Whitman, Judy Greer"
Capone,Vertical Entertainment / Bron Studios,"Josh Trank (director/screenplay); Tom Hardy, Linda Cardellini, Jack Lowden, Noel Fisher, Kyle MacLachlan, Matt Dillon"
The Wrong Missy,Netflix,"Tyler Spindel (director); Kevin Barnett, Chris Pappas (screenplay); David Spade, Lauren Lapkus, Geoff Pierson, Sarah Chalke, Molly Sims"
Scoob!,Warner Bros. Pictures / Warner Animation Group,"Tony Cervone (director); Adam Sztykiel, Jack Donaldson, Derek Elliott, Matt Lieberman (screenplay); Will Forte, Mark Wahlberg, Jason Isaacs, Gina Rodriguez, Zac Efron, Amanda Seyfried, Kiersey Clemons, Ken Jeong, Tracy Morgan, Frank Welker"
Blood and Money,Screen Media Films,"John Barr (director/screenplay); Mike McGrale, Alan Petherick (screenplay); Tom Berenger, Kristen Hager, Mark Sivertsen, Paul Ben-Victor"
Body Cam,Paramount Pictures / Paramount Players / BET Films,"Malik Vitthal (director); Richmond Riedel (screenplay); Mary J. Blige, Nat Wolff, David Zayas, David Warshofsky, Demetrius Grosse, Anika Noni Rose"
The Lovebirds,Netflix / Paramount Pictures / MRC,"Michael Showalter (director); Aaron Abrams, Brendan Gall (screenplay); Issa Rae, Kumail Nanjiani, Paul Sparks, Anna Camp, Kyle Bornheimer"
Inheritance,Vertical Entertainment,"Vaughn Stein (director); Matthew Kennedy (screenplay); Lily Collins, Simon Pegg, Chace Crawford, Connie Nielsen, Patrick Warburton, Adam Beach"
Survive the Night,Lionsgate Films,"Matt Eskandari (director); Doug Wolfe (screenplay); Bruce Willis, Chad Michael Murray"
The Wanting Mare,Gravitas Ventures,Nicholas Ashe Bateman (director/screenplay); Josh Clark
The High Note,Focus Features / Working Title Films / Perfect World Pictures,"Nisha Ganatra (director); Flora Greeson (screenplay); Dakota Johnson, Tracee Ellis Ross, Kelvin Harrison Jr., Ice Cube, Zoë Chao, Bill Pullman, Eddie Izzard"
Shirley,Neon,"Josephine Decker (director); Sarah Gubbins (screenplay); Elisabeth Moss, Michael Stuhlbarg, Odessa Young, Logan Lerman"
The Last Days of American Crime,Netflix,"Olivier Megaton (director); Karl Gajdusek (screenplay); Édgar Ramírez, Anna Brewster, Michael Pitt, Sharlto Copley"
Becky,Quiver Distribution / Redbox Entertainment,"Jonathan Milott, Cary Murnion (director); Nick Morris, Lane Skye, Ruckus Skye (screenplay); Lulu Wilson, Kevin James, Joel McHale"
Think Like a Dog,Lionsgate / Ingenious Media,"Gil Junger (director/screenplay); Josh Duhamel, Megan Fox"
Da 5 Bloods,Netflix,"Spike Lee (director/screenplay); Danny Bilson, Paul De Meo, Kevin Willmott (screenplay); Delroy Lindo, Jonathan Majors, Clarke Peters, Norm Lewis, Isiah Whitlock Jr., Mélanie Thierry, Paul Walter Hauser, Jasper Pääkkönen, Jean Reno, Chadwick Boseman"
Artemis Fowl,Disney+ / Walt Disney Pictures,"Kenneth Branagh (director); Conor McPherson, Hamish McColl (screenplay); Ferdia Shaw, Lara McDonnell, Josh Gad, Tamara Smart, Nonso Anozie, Colin Farrell, Judi Dench"
The King of Staten Island,Universal Pictures / Perfect World Pictures,"Judd Apatow (director/screenplay); Pete Davidson, Dave Sirus (screenplay); Pete Davidson, Marisa Tomei, Bill Burr, Bel Powley, Maude Apatow, Steve Buscemi"
Sniper: Assassin's End,Destination Films,"Kaare Andrews (director); Oliver Thompson (screenplay); Chad Michael Collins, Tom Berenger, Sayaka Akimoto, Lochlyn Munro, Ryan Robbins"
You Should Have Left,Universal Pictures / Blumhouse Productions,"David Koepp (director/screenplay); Kevin Bacon, Amanda Seyfried"
Wasp Network,Netflix,"Olivier Assayas (director/screenplay); Penélope Cruz, Édgar Ramírez, Gael García Bernal, Ana de Armas, Wagner Moura"
Feel the Beat,Netflix,"Elissa Down (director); Sofia Carson, Enrico Colantoni, Wolfgang Novogratz"
7500,Amazon Studios,Patrick Vollrath (director/screenplay); Joseph Gordon-Levitt
Athlete A,Netflix,"Bonni Cohen, Jon Shenk (director)"
Eurovision Song Contest: The Story of Fire Saga,Netflix / Gary Sanchez Productions / Gloria Sanchez Productions,"David Dobkin (director); Will Ferrell, Andrew Steele (screenplay); Will Ferrell, Rachel McAdams, Dan Stevens, Demi Lovato, Pierce Brosnan"
Irresistible,Focus Features / Plan B Entertainment,"Jon Stewart (director/screenplay); Steve Carell, Chris Cooper, Mackenzie Davis, Topher Grace, Natasha Lyonne, Rose Byrne"
My Spy,Amazon Studios / STX Films / Madison Wells Media Studios,"Peter Segal (director); Jon Hoeber, Erich Hoeber (screenplay); Dave Bautista, Chloe Coleman, Kristen Schaal, Ken Jeong"
We Bare Bears: The Movie,Cartoon Network Studios,"Daniel Chong (director); Mikey Heller, Kris Mukai (screenplay); Eric Edelstein, Bobby Moynihan, Demetri Martin, Marc Evan Jackson, Keith Ferguson"
Hamilton,Disney+ / Walt Disney Pictures,"Thomas Kail (director); Lin-Manuel Miranda, Phillipa Soo, Leslie Odom Jr., Renée Elise Goldsberry, Christopher Jackson, Daveed Diggs, Okieriete Onaodowan, Anthony Ramos, Jasmine Cephas Jones, Jonathan Groff"
Relic,IFC Midnight / Nine Stories Productions / AGBO,"Natalie Erika James (director/screenplay); Christian White (screenplay); Emily Mortimer, Robyn Nevin, Bella Heathcote"
Desperados,Netflix,"LP (director); Ellen Rapoport (screenplay); Anna Camp, Robbie Amell, Nasim Pedrad, Lamorne Morris, Heather Graham, Sarah Burns"
The Old Guard,Netflix / Skydance Media,"Gina Prince-Bythewood (director); Greg Rucka (screenplay); Charlize Theron, KiKi Layne, Marwan Kenzari, Luca Marinelli, Harry Melling, Veronica Ngo, Matthias Schoenaerts, Chiwetel Ejiofor"
Money Plane,Quiver Distribution,"Andrew Lawrence (director/screenplay); Tim Schaaf (screenplay); Adam Copeland, Kelsey Grammer, Thomas Jane, Denise Richards, Katrina Norman, Patrick Lamont Jr., Andrew Lawrence, Joey Lawrence, Matthew Lawrence"
Greyhound,Apple TV+ / Stage 6 Films / FilmNation Entertainment / Bron Creative / Playtone,"Aaron Schneider (director); Tom Hanks (screenplay); Tom Hanks, Stephen Graham, Rob Morgan, Elisabeth Shue"
Palm Springs,Hulu / Neon,"Max Barbakow (director); Andy Siara (screenplay); Andy Samberg, Cristin Milioti, Peter Gallagher, J. K. Simmons"
Fatal Affair,Netflix,"Peter Sullivan (director/screenplay); Rasheeda Garner (screenplay); Nia Long, Omar Epps, Stephen Bishop, KJ Smith"
The Silencing,DirecTV / Saban Films,"Robin Pront (director); Micah Ranum (screenplay); Annabelle Wallis, Hero Fiennes-Tiffin, Nikolaj Coster-Waldau"
A Nice Girl Like You,Vertical Entertainment,"The Brothers Riedell (directors); Andrea Marcellus (screenplay); Lucy Hale, Leonidas Gulaptis, Jackie Cruz"
Ghosts of War,Vertical Entertainment,"Eric Bress (director/screenplay); Brenton Thwaites, Theo Rossi, Skylar Astin, Kyle Gallner, Alan Ritchson"
Animal Crackers,Netflix,"Scott Christian Sava, Tony Bancroft (directors); Scott Christian Sava, Dean Lorey (screenplay); John Krasinski, Emily Blunt, Ian McKellen, Danny DeVito, Sylvester Stallone, Raven-Symoné, Patrick Warburton"
The Kissing Booth 2,Netflix,"Vince Marcello (director/screenplay); Jay Arnold (screenplay); Joey King, Joel Courtney, Jacob Elordi, Maisie Richardson-Sellers, Taylor Perez, Molly Ringwald"
The Rental,IFC Films,"Dave Franco (director/screenplay); Joe Swanberg (screenplay); Dan Stevens, Alison Brie, Sheila Vand, Jeremy Allen White, Toby Huss"
Deep Blue Sea 3,Warner Bros.,"John Pogue (director); Dirk Blackman (screenplay); Tania Raymonde, Nathaniel Buzolic, Emerson Brooks, Bren Foster"
